Date,ISIN No,Security Description,Type,Year Of Maturity,Maturity Date,Trades,Total Volume,High Price (`),Low Price (`),Last Traded Price (`),Last Traded YTM (%),WtdAvgPrice,WtdAvgYield,Platform
05-03-2026,IN0020250091,6.48% GS 2035,GS,2035,06-10-2035,4166,39467.6,98.95,98.56,98.87,6.64,98.75,6.66,NDS-OM
05-03-2026,IN0020250042,6.68% GS 2040,GS,2040,07-07-2040,977,10490,96.68,96.38,96.59,7.06,96.55,7.07,NDS-OM
05-03-2026,IN0020250067,6.01% GS 2030,GS,2030,21-07-2030,177,3715.19,99.11,98.75,99.07,6.26,99.06,6.26,NDS-OM
05-03-2026,IN0020240050,7.04% GS 2029,GS,2029,03-06-2029,162,1833,102.98,102.94,102.96,6.02,102.95,6.02,NDS-OM
05-03-2026,IN0020240126,6.79% GS 2034,GS,2034,07-10-2034,82,1445.55,100.8,100.7,100.78,6.67,100.75,6.67,NDS-OM
05-03-2026,IN0020250026,6.33% GS 2035,GS,2035,05-05-2035,135,1243.52,98.25,97.72,98.25,6.59,98.15,6.6,NDS-OM
05-03-2026,IN0020250018,6.90% GS 2065,GS,2065,15-04-2065,104,1076.2,93.2,92.35,92.85,7.47,93.01,7.45,NDS-OM
05-03-2026,IN002025Z484,04/03/2027 MATURING 364 DTB,TB,2027,04-03-2027,13,1030,94.75,94.74,94.75,5.58,94.75,5.58,NDS-OM
05-03-2026,IN0020250075,7.24% GS 2055,GS,2055,18-08-2055,100,1021,98.2,97.95,98,7.41,98.08,7.4,NDS-OM
05-03-2026,IN0020250141,6.36% GS 2031,GS,2031,16-02-2031,71,915.24,100.13,100.02,100.12,6.33,100.06,6.34,NDS-OM
05-03-2026,IN0020230085,7.18% GS 2033,GS,2033,14-08-2033,72,910,103.25,103.18,103.21,6.63,103.19,6.63,NDS-OM
05-03-2026,IN0020220151,7.26% GS 2033,GS,2033,06-02-2033,22,753.97,103.68,103.33,103.6,6.6,103.58,6.61,NDS-OM
05-03-2026,IN002025X489,04/06/2026 MATURING 91 DTB,TB,2026,04-06-2026,18,527,98.74,98.71,98.71,5.3,98.71,5.31,NDS-OM
05-03-2026,IN002025Y248,12/03/2026 MATURING 182 DTB,TB,2026,12-03-2026,21,505,99.92,99.92,99.92,4.7,99.92,4.7,NDS-OM
05-03-2026,IN0020210160,GOI FLOATING RATE BOND 2028,GS,2028,04-10-2028,18,490,101.05,101,101.05,5.72,101.02,5.73,NDS-OM
05-03-2026,IN0020220011,7.10% GS 2029,GS,2029,18-04-2029,22,485,103.07,103.01,103.05,6.01,103.03,6.02,NDS-OM
05-03-2026,IN002025Y487,03/09/2026 MATURING 182 DTB,TB,2026,03-09-2026,18,466.36,97.35,97.33,97.34,5.51,97.34,5.51,NDS-OM
05-03-2026,IN0020200120,GOI FLOATING RATE BOND 2033,GS,2033,22-09-2033,10,405,103.89,103.83,103.85,6.1,103.83,6.1,NDS-OM
05-03-2026,IN0020240027,7.23% GS 2039,GS,2039,15-04-2039,9,370,102.33,102.25,102.25,6.96,102.29,6.96,NDS-OM
05-03-2026,IN0020250133,6.68% GS 2033,GS,2033,27-01-2033,29,345.11,100.54,100.35,100.54,6.58,100.45,6.6,NDS-OM
05-03-2026,IN0020240035,7.34% GS 2064,GS,2064,22-04-2064,24,301.04,99.02,98.1,98.45,7.46,98.47,7.46,NDS-OM
05-03-2026,IN0020160100,6.57% GS 2033,GS,2033,05-12-2033,11,300,99.54,99.54,99.54,6.65,99.54,6.65,NDS-OM
05-03-2026,IN0020170026,6.79% GS 2027,GS,2027,15-05-2027,6,215,101.38,101.35,101.38,5.57,101.37,5.57,NDS-OM
05-03-2026,IN002025Y289,09/04/2026 MATURING 182 DTB,TB,2026,09-04-2026,10,195,99.54,99.52,99.52,5.2,99.52,5.18,NDS-OM
05-03-2026,IN3420250349,7.67% WESTBENGAL SGS 2046,SDL,2046,04-02-2046,26,167.89,100.15,99.87,99.96,7.67,99.96,7.67,NDS-OM
05-03-2026,IN0020230135,7.32% GS 2030,GS,2030,13-11-2030,18,160,104,103.98,103.99,6.32,103.99,6.32,NDS-OM
05-03-2026,IN0020240019,7.10% GS 2034,GS,2034,08-04-2034,16,155.24,102.79,102,102.75,6.65,102.69,6.66,NDS-OM
05-03-2026,IN0020240134,6.92% GS 2039,GS,2039,18-11-2039,14,145,99.63,99.4,99.63,6.96,99.56,6.97,NDS-OM
05-03-2026,IN0020220060,7.26% GS 2032,GS,2032,22-08-2032,8,135,103.65,103.6,103.65,6.56,103.63,6.56,NDS-OM
05-03-2026,IN3520250124,7.67% CHHATTISGARH SGS 2043,SDL,2043,04-03-2043,14,124.46,100.28,100.12,100.15,7.65,100.2,7.65,NDS-OM
05-03-2026,IN3320230359,7.48% UTTARPRADESH SGS 2044,SDL,2044,22-03-2044,5,116,98.3,98.3,98.3,7.66,98.3,7.66,NDS-OM
05-03-2026,IN1920250280,7.48% KARNATAKA SGS 2037,SDL,2037,04-09-2037,5,115,100.2,100.2,100.2,7.45,100.2,7.45,NDS-OM
